customer_id,customer_name,customer_email,customer_phone
06188148-692b-49e4-9fa2-bfd2122da8d0,Christopher Wagner,douglasroberts@example.com,(474)342-1339
5d368245-eb59-4e5d-8072-bd32b0ade861,Michael Hampton,gmiller@example.com,+1-256-268-9302x3291
4af12eca-f300-4a5f-ad33-1bbbcb282ba4,Lisa Sanchez,joel21@example.org,(680)718-6092
70192b49-492a-4a31-b500-052282f17461,John Wilson,thorntonlindsay@example.net,237-757-1038x9150
8ad99248-63ff-44d6-a493-1fa072bab6b7,Cody Watkins,twagner@example.org,416-643-8135x25891
27823db7-9d0d-4370-ac07-87355c058f46,Elizabeth Miller,brucetaylor@example.com,244.453.0583x12885
a685b10b-d9c0-4a6a-80eb-9b6d03fa5f91,Traci Garcia,jeffrey49@example.org,(214)230-3301x97978
0de21e49-5339-46b8-bac6-62b6bf43e63d,Brian Valdez,mcarrillo@example.net,592.574.6818x0619
38702d15-998d-4cba-8447-d647c4ea066d,Lisa Evans,kyle31@example.com,(455)413-0233x62687
28cf81d1-de34-47a2-b5b6-660f02be45e1,John Marks,morrisangela@example.com,2304039943
b49e5d4a-d7dd-459d-8eab-ede90e928a74,Molly Gonzalez,mark00@example.org,746-751-1447x044
d1e5eb0f-d581-4642-8cb0-38b8602de0b0,John Riley,barbara82@example.net,+1-566-473-3005x425
ef6364cc-cf08-42d0-8f47-1b91ac52e9e3,Paul Garza,danielallen@example.net,001-794-937-2610x240
bbbf1126-2f2a-43ba-a5e9-66ae07b712a1,Tracy Griffin,carla34@example.org,+1-868-945-1277x318
c4c24350-c2e5-4823-9b75-e2c3c785468a,Billy Santos,thomas03@example.net,(293)460-4985x6396
d92a760f-ce2e-4dd5-b923-b12fc4263fb6,April Torres,ronnie12@example.net,(314)626-4126x534
54039ff7-90cc-47ca-8c2e-1d57d98f33f8,Madison Miller,sandra19@example.org,001-316-551-8104
b030ed9f-9944-4351-bd71-bb282f152f9f,Joel Baker,zwilliams@example.org,472-487-8572x9452
